12,46,2,9,2,
12,46,2,14,18,
12,46,4,46,65,
12,46,5,34,12,
12,46,51,50,65,
12,46,6,2,17,
12,46,6,2,26,
12,46,6,60,8,
12,46,6,64,46,
12,46,6,68,7,
12,46,6,43,46,
12,46,52,6,2,
12,46,52,6,46,
12,46,7,54,46,
12,46,7,56,32,
12,46,7,57,8,
12,46,7,12,18,
12,46,7,14,2,
12,46,52,15,8,
12,46,52,16,2,
12,46,7,21,7,
12,46,52,30,3,
12,46,7,36,14,
12,46,7,36,32,
12,46,7,43,3,
12,46,7,43,8,
12,46,52,43,46,
12,46,53,41,13,
12,46,8,42,1,
12,46,9,2,6,
12,46,54,46,12,
12,46,55,3,6,
12,46,55,3,7,
12,46,10,3,26,
12,46,55,4,46,
12,46,10,66,46,
12,46,55,66,46,
12,46,10,35,17,
12,46,55,46,12,
12,46,11,30,3,
12,46,56,35,25,
12,46,11,38,8,
12,46,11,46,57,
12,46,57,2,9,
12,46,12,5,46,
12,46,12,53,46,
12,46,12,10,3,
12,46,57,16,2,
12,46,57,18,32,
12,46,12,19,7,
12,46,12,65,3,
12,46,57,25,3,
12,46,12,66,40,
12,46,12,31,40,
12,46,12,43,8,
12,46,57,46,6,
12,46,13,2,7,
12,46,13,2,26,
12,46,14,2,57,
12,46,14,2,26,
12,46,14,6,2,
12,46,14,47,7,
12,46,14,18,52,
12,46,14,46,56,
12,46,59,46,67,
12,46,60,3,55,
12,46,60,3,12,
12,46,60,3,68,
12,46,16,2,12,
12,46,16,6,24,
12,46,17,51,8,
12,46,17,12,7,
12,46,17,62,40,
12,46,64,42,39,
12,46,64,46,58,
12,46,19,46,17,
12,46,20,3,7,
12,46,65,3,27,
12,46,20,32,56,
12,46,20,40,15,
12,46,21,60,34,
12,46,22,2,41,
12,46,25,3,9,
12,46,25,60,3,
12,46,71,54,7,
12,46,71,12,50,
12,46,66,12,39,
12,46,26,39,55,
12,46,67,51,8,
12,46,67,51,46,
12,46,72,54,7,
12,46,27,12,18,
12,46,27,61,2,
12,46,72,19,7,
12,46,28,51,2,
12,46,73,8,57,
12,46,28,59,46,
12,46,73,15,46,
12,46,68,20,3,
12,46,68,38,3,
12,46,68,46,12,
12,46,68,46,36,
12,46,29,2,6,
12,46,30,47,8,
12,46,70,47,17,
12,46,75,19,7,
12,46,75,20,3,
12,46,70,20,9,
12,46,32,21,20,
12,46,35,47,19,
12,46,36,12,7,
12,46,36,13,24,
12,46,37,14,2,
12,46,39,2,65,
12,46,40,51,8,
12,46,40,54,7,
12,46,40,19,7,
12,46,43,19,2,
12,46,44,51,8,
12,46,44,14,2,
12,46,44,16,40,
12,46,45,5,8,
12,46,45,20,3,
12,46,45,21,13,
