41,1,50,
41,2,3,
41,2,6,
41,2,7,
41,2,8,
41,2,9,
41,2,55,
41,2,11,
41,2,56,
41,2,12,
41,2,57,
41,2,13,
41,2,14,
41,2,15,
41,2,66,
41,2,27,
41,2,69,
41,2,36,
41,2,46,
41,50,8,
41,50,58,
41,50,18,
41,50,20,
41,50,26,
41,50,73,
41,50,74,
41,50,33,
41,50,41,
41,5,50,
41,7,46,
41,8,13,
41,9,2,
41,54,46,
41,10,3,
41,10,8,
41,10,18,
41,55,46,
41,56,2,
41,11,6,
41,56,46,
41,57,46,
41,13,2,
41,58,3,
41,13,24,
41,14,18,
41,15,3,
41,15,50,
41,15,46,
41,16,50,
41,16,8,
41,17,46,
41,47,8,
41,18,70,
41,19,46,
41,64,46,
41,65,46,
41,21,46,
41,22,46,
41,71,46,
41,72,1,
41,67,50,
41,72,50,
41,30,3,
41,70,3,
41,31,16,
41,32,46,
41,35,2,
41,40,1,
41,41,65,
41,42,2,
41,43,3,
41,46,54,
41,46,59,
41,46,66,
