1,50,8,
1,50,13,
1,50,17,
1,50,20,
1,50,33,
1,1,39,
1,50,41,
1,1,46,
1,2,4,
1,2,6,
1,2,51,
1,2,7,
1,2,52,
1,2,10,
1,2,55,
1,2,11,
1,2,56,
1,2,12,
1,2,57,
1,2,13,
1,2,58,
1,2,15,
1,2,61,
1,2,17,
1,2,18,
1,2,63,
1,2,19,
1,2,21,
1,2,23,
1,2,26,
1,2,66,
1,2,67,
1,2,28,
1,2,68,
1,2,70,
1,2,31,
1,2,35,
1,2,36,
1,2,39,
1,2,43,
1,2,44,
1,3,14,
1,3,16,
1,3,20,
1,3,39,
1,3,46,
1,4,6,
1,4,52,
1,4,53,
1,4,13,
1,4,58,
1,4,19,
1,4,66,
1,4,41,
1,4,46,
1,5,2,
1,5,3,
1,5,4,
1,5,7,
1,5,53,
1,5,54,
1,5,10,
1,5,11,
1,5,12,
1,5,57,
1,5,58,
1,5,15,
1,5,16,
1,5,61,
1,5,17,
1,5,18,
1,5,19,
1,5,20,
1,5,21,
1,5,22,
1,5,25,
1,5,66,
1,5,67,
1,5,32,
1,5,33,
1,5,34,
1,5,36,
1,5,37,
1,5,40,
1,5,41,
1,6,2,
1,51,2,
1,51,3,
1,1,9,
1,6,52,
1,51,7,
1,51,8,
1,6,54,
1,6,55,
1,6,56,
1,6,12,
1,6,57,
1,51,12,
1,6,13,
1,6,58,
1,6,15,
1,6,61,
1,51,16,
1,6,18,
1,6,22,
1,6,24,
1,51,25,
1,6,26,
1,6,66,
1,6,67,
1,6,69,
1,51,69,
1,6,31,
1,6,32,
1,51,32,
1,6,33,
1,51,33,
1,6,34,
1,6,39,
1,6,40,
1,51,40,
1,6,41,
1,51,41,
1,6,42,
1,6,46,
1,7,7,
1,7,54,
1,7,10,
1,7,55,
1,7,11,
1,7,12,
1,7,13,
1,7,58,
1,7,16,
1,7,17,
1,7,18,
1,7,19,
1,52,20,
1,52,22,
1,7,25,
1,7,66,
1,7,67,
1,7,30,
1,7,31,
1,52,32,
1,7,36,
1,7,41,
1,7,42,
1,52,42,
1,8,1,
1,8,2,
1,53,2,
1,8,52,
1,8,57,
1,8,14,
1,8,16,
1,8,61,
1,8,17,
1,8,20,
1,8,22,
1,53,22,
1,8,24,
1,8,66,
1,8,67,
1,8,28,
1,8,68,
1,8,31,
1,53,32,
1,8,33,
1,53,33,
1,8,34,
