76,-1,-1
76,0,-1
76,-2,-1
76,-3,-1
76,-4,-1
76,-5,-1
76,-6,-1
76,-7,-1
76,-8,-1
76,-9,-1
76,-10,-1
76,-11,-1
76,-12,-1
76,-13,-1
76,-14,-1
76,-15,-1
76,-16,-1
76,-17,-1
76,-18,-1
76,-19,-1
76,-20,-1
76,-21,-1
76,-22,-1
76,-23,-1
76,-24,-1
76,-25,-1
76,-26,-1
76,-27,-1
76,-28,-1
76,-29,-1
76,-30,-1
76,2,-1
76,3,-1
76,1,-1
76,4,-1
76,5,-1
76,6,-1
76,7,-1
76,8,-1
76,9,-1
76,10,-1
76,11,-1
76,12,-1
76,13,-1
76,14,-1
76,16,-1
76,15,-1
76,17,-1
76,18,-1
76,19,-1
76,20,-1
76,21,-1
76,22,-1
76,23,-1
76,24,-1
76,25,-1
76,26,-1
76,27,-1
76,28,-1
76,29,-1
76,30,-1
76,31,-1
76,32,-1
76,33,-1
76,34,-1
76,35,-1
76,36,-1
76,37,-1
76,38,-1
76,39,-1
76,40,-1
76,41,-1
76,42,-1
76,43,-1
76,-31,-1
76,-32,-1
76,-33,-1
76,-34,-1
76,-35,-1
76,-36,-1
76,-37,-1
76,-38,-1
76,-39,-1
76,-40,-1
76,-41,-1
76,-42,-1
76,-43,-1
76,-44,-1
76,60,-1
76,59,-1
76,58,-1
76,57,-1
76,56,-1
76,55,-1
76,54,-1
76,53,-1
76,52,-1
76,51,-1
76,50,-1
76,49,-1
76,48,-1
76,47,-1
76,46,-1
76,45,-1
76,44,-1
21,2,1
22,3,2
23,4,1
24,5,2
25,6,1
26,8,1
27,9,2
28,10,1
29,11,2
30,12,1
31,14,1
32,15,2
33,16,1
34,17,2
35,18,1
11,-5,4
11,-6,4
12,-5,3
12,-4,3
13,-4,2
13,-3,2
14,-2,1
14,-3,1
15,-1,0
15,-2,0
56,-7,4
56,-8,4
57,-7,3
57,-6,3
58,-5,2
58,-6,2
59,-5,1
59,-4,1
60,-3,0
60,-4,0
49,-9,0
49,-8,0
49,-7,0
49,-8,1
49,-9,1
49,-9,2
49,-12,10
49,-5,0
49,-6,0
49,-6,1
49,-7,1
49,-7,2
49,-8,2
49,-8,3
49,-9,3
49,-9,4
49,-9,5
49,-9,6
49,-9,7
49,-9,8
49,-9,9
49,-9,10
49,-9,11
49,-9,12
49,-9,13
10,21,0
10,22,0
55,23,0
55,24,0
9,23,1
9,22,1
54,25,1
54,24,1
53,25,2
53,26,2
52,27,3
52,26,3
51,27,4
51,28,4
6,26,4
6,25,4
7,24,3
7,25,3
8,24,2
8,23,2
39,8,5
40,9,5
41,10,5
42,11,5
43,12,5
49,25,0
49,26,0
49,26,1
49,27,1
49,27,0
49,28,1
49,27,2
49,28,2
49,28,3
49,28,0
49,29,0
49,29,1
49,29,2
49,29,3
49,29,4
49,29,5
49,29,6
49,29,7
49,29,8
49,29,9
49,29,10
49,29,11
49,29,12
49,29,13
