1,1,2,3,
1,100,8,45,
1,1,12,16,
1,100,20,12,
1,100,126,53,
1,100,129,43,
1,100,29,53,
1,100,32,100,
1,100,32,53,
1,100,34,53,
1,2,1,2,
1,2,1,6,
1,2,1,53,
1,2,2,100,
1,2,2,8,
1,2,100,116,
1,2,2,53,
1,2,3,3,
1,2,103,113,
1,2,3,17,
1,2,3,18,
1,2,4,18,
1,2,4,28,
1,2,4,53,
1,2,5,2,
1,2,5,100,
1,2,5,42,
1,2,5,46,
1,2,5,53,
1,2,106,100,
1,2,6,107,
1,2,106,7,
1,2,6,110,
1,2,106,11,
1,2,6,16,
1,2,106,16,
1,2,106,32,
1,2,106,34,
1,2,106,35,
1,2,6,46,
1,2,6,53,
1,2,106,53,
1,2,107,53,
1,2,8,107,
1,2,8,17,
1,2,108,31,
1,2,9,2,
1,2,9,53,
1,2,109,53,
1,2,10,3,
1,2,110,3,
1,2,110,100,
1,2,10,8,
1,2,110,12,
1,2,110,20,
1,2,110,31,
1,2,10,53,
1,2,11,2,
1,2,11,8,
1,2,11,18,
1,2,111,34,
1,2,111,46,
1,2,11,53,
1,2,12,100,
1,2,112,100,
1,2,12,16,
1,2,112,18,
1,2,12,43,
1,2,112,45,
1,2,112,53,
1,2,113,32,
1,2,13,33,
1,2,113,42,
1,2,13,43,
1,2,14,2,
1,2,14,7,
1,2,114,7,
1,2,14,18,
1,2,114,18,
1,2,14,53,
1,2,114,53,
1,2,15,3,
1,2,115,3,
1,2,15,8,
1,2,15,34,
1,2,115,34,
1,2,15,53,
1,2,16,2,
1,2,116,2,
1,2,16,9,
1,2,116,17,
1,2,16,119,
1,2,116,19,
1,2,116,21,
1,2,116,30,
1,2,116,31,
1,2,116,40,
1,2,116,43,
1,2,18,3,
1,2,18,108,
1,2,99,16,
1,2,118,17,
1,2,118,24,
1,2,118,31,
1,2,119,12,
1,2,19,18,
1,2,19,33,
1,2,119,53,
1,2,20,3,
1,2,120,5,
1,2,120,8,
1,2,120,10,
1,2,120,12,
1,2,120,25,
1,2,120,42,
1,2,120,43,
1,2,21,6,
1,2,21,12,
1,2,21,34,
1,2,21,43,
1,2,22,8,
1,2,23,110,
1,2,24,53,
1,2,25,10,
1,2,25,13,
1,2,25,16,
1,2,25,19,
1,2,25,31,
1,2,25,42,
1,2,126,8,
1,2,126,21,
1,2,26,53,
1,2,126,53,
1,2,127,100,
1,2,227,100,
1,2,127,7,
1,2,127,53,
1,2,28,8,
1,2,28,116,
1,2,129,18,
1,2,129,36,
1,2,129,41,
1,2,130,3,
1,2,130,12,
1,2,130,44,
1,2,31,2,
1,2,31,110,
1,2,32,18,
1,2,32,53,
1,2,33,10,
1,2,35,17,
1,2,35,25,
1,2,35,53,
1,2,36,8,
1,2,36,9,
1,2,36,120,
1,2,36,42,
1,2,40,3,
1,2,40,8,
1,2,40,18,
1,2,40,32,
1,2,40,34,
1,2,41,8,
1,2,42,13,
1,2,42,53,
1,2,44,53,
1,2,45,3,
1,2,45,53,
1,3,16,100,
1,3,45,13,
1,3,45,41,
1,4,19,43,
1,4,21,2,
1,4,21,33,
1,4,23,8,
1,4,31,114,
1,4,35,25,
1,4,53,6,
1,5,1,4,
1,5,1,5,
1,5,1,111,
1,5,1,12,
1,5,1,53,
1,5,2,6,
1,5,2,111,
1,5,2,12,
1,5,2,45,
1,5,3,31,
1,5,3,34,
1,5,106,2,
